EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
50.0,-9.429594853875473,41,1269,161.46014285087585,63450,-0.0,-0.9620179,0.8140185177326202,0.007526517,0.012942007,0.012942007
50.0,-9.518969374019477,41,1310,164.3890838623047,65500,-0.0,-1.0207639,0.8127812296152115,0.007122038,0.011644246,0.011644246
50.0,-9.080310972869178,41,1351,167.32385087013245,67550,-0.0,-1.1010734,0.820853129029274,0.0077765463,0.014912657,0.014912657
50.0,-8.895649311805302,41,1392,170.3401279449463,69600,-0.0,-1.1660261,0.841867208480835,0.008544581,0.017575152,0.017575152
50.0,-8.637221073363754,41,1433,181.5002818107605,71650,-0.0,-1.2577817,0.8387231379747391,0.008104669,0.014600557,0.014600557
50.0,-8.486532755758327,41,1474,184.4585919380188,73700,-0.0,-1.3395108,0.8430086076259613,0.007734432,0.010082994,0.010082994
50.0,-8.242096545289348,41,1515,187.44203686714172,75750,-0.0,-1.408325,0.8264334499835968,0.007577825,0.017114151,0.017114151
50.0,-8.120866311488985,41,1556,190.4251308441162,77800,-0.0,-1.4061668,0.8561353385448456,0.0067302175,0.01562368,0.01562368
50.0,-8.421420021532043,41,1597,193.61596989631653,79850,-0.0,-1.4869182,0.8764295503497124,0.007027135,0.011370805,0.011370805
50.0,-8.298297810825211,41,1638,206.18982887268066,81900,-0.0,-1.5484521,0.8821217939257622,0.008614531,0.0142524475,0.0142524475
50.0,-8.204991679857235,41,1679,250.36613488197327,83950,-0.0,-1.5963974,0.8973515927791595,0.007011661,0.011141297,0.011141297
50.0,-7.984167958322152,41,1720,253.2855818271637,86000,-0.0,-1.6617668,0.8615841120481491,0.0071902126,0.016163478,0.016163478
50.0,-7.832265943083557,41,1761,256.20920491218567,88050,-0.0,-1.7267528,0.8356675207614899,0.0076807225,0.017649543,0.017649543
50.0,-7.6076971902656645,41,1802,259.1537070274353,90100,-0.0,-1.7789896,0.8778591901063919,0.0068782046,0.015927102,0.015927102
