eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
50.0,-60.89783705,1377,0.004991746,0.046435546,2.8025947,-0.0046311673,113.20211,0.025455176830291748,1,2048,1.4866268059704453,2048
50.0,-60.68125638271605,1430,0.0030289788,0.02602539,2.7504652,-0.0045362813,110.07318,0.034099578857421875,2,4096,2.919259306974709,4096
50.0,-60.271525629999985,1428,0.004499543,0.039111327,2.68761,-0.0058627706,104.56905,-0.0019134283065795898,3,6144,4.3536366949556395,6144
50.0,-59.11742273000001,1436,0.0041135657,0.038183592,2.619556,-0.007753515,97.253174,0.014807641506195068,4,8192,5.7799759049667045,8192
50.0,-57.332636859999994,1406,0.0044002337,0.041308593,2.5569267,-0.0069915643,86.59578,0.029532313346862793,5,10240,7.236492863972671,10240
50.0,-56.06143512,1428,0.0026325681,0.02080078,2.5086381,-0.00514809,84.3525,0.07016342878341675,6,12288,8.670837825047784,12288
50.0,-54.7815019,1419,0.0020774591,0.013134765,2.4626176,-0.0037947781,75.542595,0.08032417297363281,7,14336,10.114444355014712,14336
50.0,-53.10748627,1430,0.0038497157,0.03515625,2.4139743,-0.006329395,69.57776,0.0517769455909729,8,16384,11.546633325982839,16384
50.0,-51.97803360000001,1430,0.0030814593,0.025244141,2.375831,-0.004312473,66.69121,0.06815069913864136,9,18432,12.979077672935091,18432
50.0,-51.070082979999995,1435,0.0022420941,0.014404297,2.3515334,-0.0035624932,64.658356,0.03866910934448242,10,20480,14.406118095037527,20480
50.0,-51.32152714,1424,0.0041298224,0.04194336,2.321486,-0.006817656,64.267136,0.05198699235916138,11,22528,15.844688987941481,22528
50.0,-51.233456860000004,1422,0.0028575077,0.021875,2.288129,-0.003842347,63.475533,0.08916795253753662,12,24576,17.285242954967543,24576
50.0,-50.89663119,1421,0.0030223834,0.021484375,2.2547543,-0.004699892,57.845848,0.09584903717041016,13,26624,18.7260235339636,26624
50.0,-49.81953680000001,1394,0.0031664153,0.02475586,2.2227745,-0.005301402,55.172264,0.11101311445236206,14,28672,20.19538178294897,28672
