# {"t_start": 1601481015.31651, "env_id": "Reacher-v2"} 
r,l,t
-60.758295,50,6.98849
-58.345662,50,7.03469
-70.686311,50,7.081171
-73.259346,50,7.12732
-56.392732,50,7.174108
-62.672334,50,7.22054
-61.910759,50,7.267763
-69.611004,50,7.314044
-62.299406,50,7.360526
-54.579618,50,7.406794
-65.494268,50,7.452891
-61.374476,50,7.499022
-70.216732,50,7.544995
-67.762923,50,7.591296
-61.504377,50,7.643535
-52.402951,50,7.689733
-60.114063,50,7.735854
-57.247629,50,7.781966
-52.262945,50,7.828081
-68.647895,50,7.874978
-61.012073,50,7.921041
-56.317517,50,7.967246
-53.955718,50,8.013346
-60.520643,50,8.059578
-62.624067,50,8.105571
-63.49356,50,8.151583
-56.06455,50,8.197971
-63.663565,50,8.244049
-55.620918,50,8.290143
-54.387649,50,8.336367
-56.792434,50,8.382829
-58.152976,50,8.428755
-57.329692,50,8.474689
-67.585436,50,8.521643
-57.752382,50,8.567804
-60.915381,50,8.614189
-66.309556,50,8.660484
-62.716268,50,8.706561
-61.68751,50,8.75255
-58.309752,50,8.798864
-58.782998,50,9.318834
-63.244031,50,9.367846
-57.173032,50,9.4141
-50.514844,50,9.46073
-62.707187,50,9.508328
-58.384908,50,9.554459
-61.8651,50,9.601418
-61.519971,50,9.647985
-48.95124,50,9.694103
-57.081166,50,9.74012
-56.794836,50,9.786113
-51.152343,50,9.832249
-64.234276,50,9.878661
-68.725783,50,9.924803
-67.654954,50,9.97089
-54.913826,50,10.016912
-62.394048,50,10.063549
-57.625034,50,10.109777
-58.517867,50,10.15608
-58.298647,50,10.203614
-53.33707,50,10.250891
-67.774092,50,10.297679
-61.33486,50,10.347252
-59.267171,50,10.393414
-57.306098,50,10.439497
-56.887229,50,10.485705
-57.676912,50,10.532122
-57.858921,50,10.578089
-65.132718,50,10.624531
-52.924181,50,10.670564
-56.812409,50,10.716834
-62.461889,50,10.763074
-59.279602,50,10.810541
-55.320559,50,10.85718
-59.761236,50,10.903249
-59.75808,50,10.949297
-59.956614,50,10.995422
-58.301311,50,11.041549
-65.293017,50,11.087815
-61.955482,50,11.134062
-63.512943,50,11.180108
-67.485386,50,11.460316
-48.526944,50,11.507416
-49.797724,50,11.556087
-57.202335,50,11.60566
-58.315798,50,11.65218
-55.928409,50,11.698338
-47.565663,50,11.744686
-60.832166,50,11.790593
-57.971347,50,11.837571
-62.705038,50,11.883752
-51.69813,50,11.929841
-66.654273,50,11.975782
-53.685034,50,12.021766
-57.61752,50,12.06786
-52.334773,50,12.113888
-48.791139,50,12.159999
-59.837035,50,12.205913
-47.001689,50,12.25209
-48.467647,50,12.298013
-55.376395,50,12.344142
-55.57135,50,12.390677
-57.487421,50,12.436604
-54.038356,50,12.483027
-59.442853,50,12.528889
-61.347389,50,12.574969
-62.021171,50,12.621005
-50.417597,50,12.667322
-62.049227,50,12.713326
-54.928078,50,12.75972
-65.401597,50,12.807029
-54.344503,50,12.852922
-51.865184,50,12.899684
-55.315733,50,12.94607
-55.871054,50,12.992
-55.105921,50,13.037971
-49.531199,50,13.084022
-54.478196,50,13.130028
-52.676451,50,13.176193
-59.553538,50,13.222966
-48.691869,50,13.269261
-53.45659,50,13.315792
-62.366296,50,13.592373
-52.583385,50,13.640294
-56.535413,50,13.686861
-51.289139,50,13.734427
-61.654637,50,13.78138
-59.852839,50,13.827528
-56.732481,50,13.875314
-46.743084,50,13.921639
-64.453541,50,13.967639
-57.453333,50,14.01358
-54.684254,50,14.059778
-57.853411,50,14.105979
-53.590268,50,14.152072
-47.723563,50,14.198034
-52.964961,50,14.244088
-54.149465,50,14.290196
-49.480631,50,14.336366
-56.584234,50,14.382566
-52.666632,50,14.428564
-61.131517,50,14.475463
-55.672252,50,14.52199
-59.127396,50,14.567866
-57.872235,50,14.614027
-49.99645,50,14.660159
-51.470814,50,14.706213
-40.002048,50,14.752347
-58.474237,50,14.798244
-44.530737,50,14.845334
-50.974326,50,14.891607
-56.165804,50,14.937662
-48.502098,50,14.983583
-60.560807,50,15.029805
-46.734972,50,15.076136
-58.553181,50,15.123661
-58.688763,50,15.182155
-44.923909,50,15.232057
-48.516516,50,15.278292
-47.641555,50,15.324424
-50.394131,50,15.371127
-49.321689,50,15.417199
-57.937294,50,15.4636
-54.52194,50,15.750463
-50.973204,50,15.798839
-52.308227,50,15.84561
-47.173288,50,15.894819
-47.935156,50,15.942052
-48.364306,50,15.988153
-44.4769,50,16.034485
-41.372189,50,16.080611
-47.319683,50,16.126532
-53.955982,50,16.172963
-48.726766,50,16.21901
-49.892942,50,16.265559
-49.039181,50,16.311582
-43.075163,50,16.357871
-47.64101,50,16.404031
-57.80334,50,16.450601
-51.293154,50,16.496466
-51.685022,50,16.542396
-53.448915,50,16.588649
-58.471019,50,16.634736
-46.232982,50,16.681023
-61.67076,50,16.728095
-55.306145,50,16.774511
-53.35045,50,16.820872
-52.159555,50,16.867479
-47.690488,50,16.913498
-46.598908,50,16.959466
-57.262598,50,17.005557
-49.719164,50,17.051657
-46.38242,50,17.097887
-47.852705,50,17.144216
-51.647511,50,17.190932
-51.907482,50,17.236903
-52.177552,50,17.283148
-51.748246,50,17.32911
-54.746338,50,17.375732
-53.059434,50,17.421899
-49.39675,50,17.467998
-54.241988,50,17.514355
-50.673076,50,17.560442
-46.067328,50,17.6063
-54.963268,50,19.113127
-55.564345,50,19.174711
-49.092987,50,19.235485
-49.581932,50,19.299628
-55.704452,50,19.361041
-50.970541,50,19.422103
-44.596804,50,19.487318
-46.722402,50,19.562469
-48.665973,50,19.628751
-54.272371,50,19.688559
-45.32284,50,19.747412
-51.824205,50,19.80647
-44.487077,50,19.867107
-51.743553,50,19.926307
-46.840838,50,19.986048
-52.558803,50,20.045107
-48.287696,50,20.104655
-48.337255,50,20.164136
-49.508193,50,20.222979
-52.674677,50,20.282715
-46.311467,50,20.343198
-51.11237,50,20.402835
-55.840391,50,20.462321
-61.26838,50,20.521575
-52.454915,50,20.580066
-49.153997,50,20.639524
-43.275696,50,20.698023
-52.966699,50,20.75712
-54.673681,50,20.816317
-49.860169,50,20.876403
-45.732045,50,20.935147
-55.102435,50,20.993652
-43.069755,50,21.052457
-44.759169,50,21.111369
-46.590029,50,21.170305
-47.917686,50,21.229228
-56.20198,50,21.288148
-52.341452,50,21.346956
-42.517422,50,21.405483
-49.208632,50,21.464138
-57.914729,50,21.522914
-57.613383,50,21.817155
-53.52203,50,21.881064
-42.37501,50,21.943703
-50.395019,50,22.005138
-48.614017,50,22.066909
-45.355624,50,22.127986
-50.067532,50,22.189031
-47.001378,50,22.250265
-48.891082,50,22.311707
-46.264976,50,22.373239
-49.141471,50,22.434727
-44.539563,50,22.495864
-44.129046,50,22.557394
-51.475291,50,22.618547
-45.754923,50,22.679856
-47.453591,50,22.74122
-49.970676,50,22.802528
-42.260097,50,22.869253
-47.60141,50,22.931346
-45.599638,50,22.992784
-43.381868,50,23.054147
-39.165917,50,23.11557
-49.341563,50,23.177001
-50.788874,50,23.238553
-49.573978,50,23.29961
-52.712283,50,23.361245
-45.488152,50,23.422572
-45.656055,50,23.483705
-43.435287,50,23.545228
-48.386896,50,23.606662
-53.690409,50,23.668047
-48.3644,50,23.729636
-47.535313,50,23.7909
-44.539082,50,23.860122
-48.933359,50,23.92159
-49.572043,50,23.984402
-48.553678,50,24.045707
-39.016018,50,24.107046
-50.639077,50,24.168463
-47.551941,50,24.230058
-43.38011,50,24.291363
-54.990916,50,24.583205
-46.766619,50,24.648913
-44.896976,50,24.711796
-44.370097,50,24.773161
-44.22453,50,24.83447
-45.093182,50,24.899664
-38.582238,50,24.961209
-46.457563,50,25.022271
-36.126684,50,25.083592
-42.483557,50,25.145875
-47.768722,50,25.218157
-46.420618,50,25.279401
-46.666789,50,25.340594
-44.742748,50,25.401936
-49.126955,50,25.463472
-40.809484,50,25.52477
-43.592036,50,25.586071
