EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
50.0,-61.06888431563654,40,40,2.4510810375213623,2000,0.0,2.6998901,-0.027843356132507324,0.009977602,0.0073288865,0.0073288865
50.0,-60.1877019917741,41,81,4.590763092041016,4050,0.0,2.5911868,0.1478264331817627,0.010161615,0.0064913128,0.0064913128
50.0,-57.917202676621976,41,122,6.721487998962402,6100,0.0,2.4652476,0.19003337621688843,0.010081768,0.003974417,0.003974417
50.0,-55.5741039410407,41,163,8.876818895339966,8150,0.0,2.3445418,0.32481974363327026,0.010114193,0.0040566176,0.0040566176
50.0,-52.92421713730023,41,204,12.198904752731323,10200,0.0,2.2866476,0.4276994466781616,0.010035253,0.0054814424,0.0054814424
50.0,-50.62751906982261,41,245,14.936872959136963,12250,0.0,2.1545808,0.43714600801467896,0.010033107,0.0067177303,0.0067177303
50.0,-49.24407363606431,41,286,17.700603008270264,14300,0.0,2.0212119,0.46851253509521484,0.0100223785,0.010128316,0.010128316
50.0,-46.73477215323996,41,327,20.476948022842407,16350,0.0,1.8833619,0.5807807445526123,0.009978771,0.009419895,0.009419895
50.0,-43.90520126342942,41,368,23.237063884735107,18400,0.0,1.7462229,0.616659551858902,0.009986017,0.010426885,0.010426885
50.0,-41.143372553853716,41,409,28.280426025390625,20450,0.0,1.6134661,0.5063247084617615,0.010027409,0.010296905,0.010296905
50.0,-38.0100327492533,41,450,30.95758295059204,22500,0.0,1.4913962,0.5690047740936279,0.010106302,0.009348746,0.009348746
50.0,-34.996781342002876,41,491,33.70702910423279,24550,0.0,1.3534553,0.6300978064537048,0.009978271,0.011808403,0.011808403
50.0,-32.65771794611709,41,532,36.470661878585815,26600,0.0,1.2157868,0.6215290427207947,0.009980894,0.0073544984,0.0073544984
50.0,-30.494024722551554,41,573,39.2384889125824,28650,0.0,1.0787824,0.6057173609733582,0.009987831,0.014210299,0.014210299
50.0,-28.050574119394312,41,614,45.37859582901001,30700,0.0,0.959136,0.6459459960460663,0.010119822,0.00933308,0.00933308
50.0,-26.44505437316663,41,655,48.13536787033081,32750,0.0,0.8471984,0.6216497719287872,0.010152125,0.010745395,0.010745395
50.0,-24.212088672296442,41,696,50.90227007865906,34800,0.0,0.7129567,0.6635276675224304,0.010014796,0.008148488,0.008148488
50.0,-22.413665776598794,41,737,53.66680979728699,36850,0.0,0.59715754,0.6387501358985901,0.010137773,0.010764014,0.010764014
50.0,-20.712587120780494,41,778,56.43494200706482,38900,0.0,0.4592438,0.6199489235877991,0.0099785095,0.006680008,0.006680008
50.0,-19.381885539579567,41,819,63.75204586982727,40950,0.0,0.32146922,0.6772278249263763,0.009980109,0.012932241,0.012932241
50.0,-18.289705308251957,41,860,66.40273189544678,43000,0.0,0.18619664,0.6602535247802734,0.010004782,0.009840472,0.009840472
50.0,-17.017059865506727,41,901,69.17652487754822,45050,0.0,0.048199367,0.7136410176753998,0.009977724,0.008326782,0.008326782
50.0,-15.592602193314749,41,942,71.94024300575256,47100,-0.0,-0.08861145,0.7053871750831604,0.009989762,0.009112499,0.009112499
50.0,-14.597172512202151,41,983,74.68609595298767,49150,-0.0,-0.19696335,0.7261233031749725,0.010162138,0.004782061,0.004782061
50.0,-13.822314611934496,41,1024,82.91389894485474,51200,-0.0,-0.331482,0.7182249426841736,0.0100121265,0.0119137615,0.0119137615
50.0,-12.926837511100766,40,1064,85.57974100112915,53200,-0.0,-0.4624181,0.6685373783111572,0.0100438595,0.013197916,0.013197916
50.0,-11.895148095640671,41,1105,88.35464096069336,55250,-0.0,-0.5988769,0.7355487048625946,0.009993338,0.012683226,0.012683226
50.0,-11.03103945269778,41,1146,91.13417792320251,57300,-0.0,-0.73350525,0.7552051544189453,0.010011103,0.011493446,0.011493446
50.0,-10.377348395048019,41,1187,93.88916373252869,59350,-0.0,-0.8660779,0.8292755633592606,0.010029886,0.008845725,0.008845725
50.0,-10.17035004776071,41,1228,103.25241708755493,61400,-0.0,-0.99992347,0.8135251402854919,0.010018349,0.011812383,0.011812383
50.0,-9.694720693223276,41,1269,105.96310591697693,63450,-0.0,-1.1203035,0.7418971657752991,0.010115862,0.009428867,0.009428867
50.0,-8.99774312324446,41,1310,108.67469692230225,65500,-0.0,-1.249967,0.7992655038833618,0.010054205,0.0063382927,0.0063382927
50.0,-8.451982972635923,41,1351,111.43505382537842,67550,-0.0,-1.3761318,0.8143754750490189,0.0100803375,0.0074896417,0.0074896417
50.0,-8.096622722274356,41,1392,114.1883180141449,69600,-0.0,-1.5113227,0.8159811645746231,0.0100057125,0.006952575,0.006952575
