eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
50.0,-62.57169484999999,1193,0.004738908,0.036035158,2.787284,-0.0053992,120.06917,-0.04823029041290283,1,2048,1.7159754189196974,2048
50.0,-61.1264322345679,1298,0.0029565233,0.02265625,2.7194712,-0.0040657762,106.75364,-0.027099132537841797,2,4096,3.293273409944959,4096
50.0,-59.275879720000006,1236,0.0037987214,0.03310547,2.650382,-0.006222641,97.35749,-0.0034987926483154297,3,6144,4.949742964003235,6144
50.0,-57.49521970000001,1291,0.004342055,0.043945312,2.5913713,-0.005622589,89.67387,0.011390745639801025,4,8192,6.536451411899179,8192
50.0,-55.681284489999996,1226,0.00340044,0.029296875,2.5339513,-0.0066127293,82.683624,0.03232651948928833,5,10240,8.206930204993114,10240
50.0,-54.91486511000001,994,0.0038969056,0.031396486,2.46686,-0.006262253,80.68879,0.07622575759887695,6,12288,10.267356815980747,12288
50.0,-53.98128762999999,1187,0.0035371792,0.029492188,2.4082859,-0.005896499,73.3474,0.07400619983673096,7,14336,11.99193865491543,14336
50.0,-52.44505475000001,1269,0.0035151646,0.029492188,2.3636231,-0.0047657276,66.71446,0.04783225059509277,8,16384,13.606007396942005,16384
50.0,-51.410609539999996,1190,0.0031238697,0.024560547,2.3220599,-0.0042697354,67.00094,0.06660521030426025,9,18432,15.32659844995942,18432
50.0,-51.12997258,1169,0.0033249394,0.029101562,2.2808917,-0.0068905735,63.44474,0.07892704010009766,10,20480,17.077841941965744,20480
50.0,-50.27488698,1175,0.004798307,0.050341796,2.248857,-0.0065582013,60.9087,0.0663403868675232,11,22528,18.82026910793502,22528
50.0,-49.34920412999998,1147,0.0020975233,0.011767578,2.2208111,-0.0046413452,57.170086,0.02710789442062378,12,24576,20.6068629079964,24576
50.0,-48.551388640000006,1168,0.0024913535,0.015625,2.1874967,-0.0048261513,52.777813,0.0716022253036499,13,26624,22.360172446933575,26624
50.0,-47.45048965,1176,0.0036326405,0.03237305,2.1549044,-0.006119135,48.340736,0.07031399011611938,14,28672,24.101031075930223,28672
50.0,-46.63439482,1176,0.003996185,0.03881836,2.1267822,-0.004389456,47.860847,0.08184009790420532,15,30720,25.84259357501287,30720
50.0,-46.59429343,1260,0.004347962,0.041650392,2.095138,-0.005845026,48.875538,0.08895343542098999,16,32768,27.46768607699778,32768
50.0,-45.74902891,1229,0.004020094,0.044042967,2.0632892,-0.0073281983,42.06434,0.06286787986755371,17,34816,29.133982626954094,34816
50.0,-45.53322595999999,1246,0.0044061346,0.042236328,2.0292044,-0.006529309,43.01264,0.07833760976791382,18,36864,30.777516565984115,36864
50.0,-44.76933715,1238,0.0038619402,0.037402343,1.9930487,-0.006792744,41.206852,0.06235182285308838,19,38912,32.4315645089373,38912
50.0,-44.209278839999996,1299,0.0034211525,0.027734375,1.963221,-0.0040959935,37.699898,0.08785957098007202,20,40960,34.00817870395258,40960
50.0,-43.190583270000005,1248,0.0045669572,0.04814453,1.935344,-0.007361193,36.882442,0.09849357604980469,21,43008,35.648398506920785,43008
50.0,-41.926208239999994,1300,0.0025716336,0.015136719,1.9046404,-0.0029669737,32.136356,0.0697706937789917,22,45056,37.223916916991584,45056
50.0,-41.544121690000004,1250,0.0041280296,0.03852539,1.8761832,-0.0054615824,32.624535,0.08180475234985352,23,47104,38.8618969169911,47104
50.0,-41.12416361,1380,0.0034989417,0.029101562,1.8468988,-0.005593743,31.039505,0.11845356225967407,24,49152,40.346263741957955,49152
50.0,-40.596952300000005,1420,0.0051037814,0.049951173,1.8142408,-0.008024391,29.39545,0.08744543790817261,25,51200,41.78807333600707,51200
50.0,-39.75439241,1403,0.0031105445,0.025048828,1.7866577,-0.00499209,27.031153,0.12366080284118652,26,53248,43.24825496599078,53248
50.0,-39.097691590000004,1408,0.0028136107,0.023779297,1.7628425,-0.0051167454,25.648758,0.13919740915298462,27,55296,44.70277691096999,55296
50.0,-38.988472550000004,1401,0.0029100948,0.021289062,1.7389705,-0.004275823,25.529198,0.17728924751281738,28,57344,46.164177806000225,57344
50.0,-38.878963510000005,1432,0.0035605389,0.033935547,1.715633,-0.0054625487,24.275112,0.1770833134651184,29,59392,47.59459432994481,59392
50.0,-38.46356131,1408,0.002610919,0.015478516,1.6963898,-0.0028420056,22.886835,0.1984768509864807,30,61440,49.04925955098588,61440
50.0,-37.82855158,1398,0.0031593568,0.023242187,1.672048,-0.005015714,22.146053,0.21602517366409302,31,63488,50.51413353998214,63488
50.0,-37.20436268,1421,0.0027698283,0.02080078,1.6449016,-0.0043304856,20.422617,0.237116277217865,32,65536,51.9558485589223,65536
50.0,-37.14003417000001,1429,0.0026056096,0.017236328,1.6197901,-0.0038196736,21.162106,0.24697810411453247,33,67584,53.389276387984864,67584
50.0,-37.8242434,1425,0.0020928208,0.012402344,1.6016032,-0.0020871658,20.988798,0.30861473083496094,34,69632,54.825933420914225,69632
50.0,-37.84852596,1410,0.004005514,0.03857422,1.5844285,-0.0067792507,19.34119,0.3090808391571045,35,71680,56.27807523496449,71680
50.0,-36.55112668000001,1422,0.0039071655,0.039794922,1.5636715,-0.0049835285,15.525357,0.2864510416984558,36,73728,57.71864460990764,73728
50.0,-35.347484099999996,1409,0.0026792358,0.02055664,1.5491463,-0.004579233,16.018585,0.30976277589797974,37,75776,59.17164309800137,75776
50.0,-35.2408186,1406,0.0021693555,0.012109375,1.5392601,-0.0031943875,15.583015,0.34923744201660156,38,77824,60.6279977269005,77824
50.0,-35.582349210000004,1420,0.0021218916,0.010644531,1.5291389,-0.0025327792,14.350375,0.41027355194091797,39,79872,62.070103300968185,79872
50.0,-35.11910700000001,1428,0.0026813992,0.019140625,1.518588,-0.0037899434,15.026819,0.3527480959892273,40,81920,63.50409658299759,81920
50.0,-34.66330911,1428,0.0016188407,0.0078125,1.5053493,-0.002682188,13.888486,0.344727098941803,41,83968,64.93771748791914,83968
50.0,-34.45163136,1429,0.0014170641,0.0036132813,1.495253,-0.0024779884,12.685563,0.42929112911224365,42,86016,66.37120474793483,86016
50.0,-34.04961232,1420,0.0020495742,0.011767578,1.4857256,-0.003006729,13.278821,0.3893852233886719,43,88064,67.8131112109404,88064
50.0,-34.11901762,1419,0.00086109777,0.0012207031,1.4758271,-0.0023530512,12.744673,0.4007396697998047,44,90112,69.25650263391435,90112
50.0,-34.07210722,1408,0.0017280749,0.0064941407,1.4683001,-0.0018337838,11.545012,0.4892324209213257,45,92160,70.71055826591328,92160
