EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
50.0,-62.57169487345855,40,40,1.7297396659851074,2000,0.0,2.7682483,-0.03301966190338135,0.0066722883,0.015632203,0.015632203
50.0,-61.283120072790865,41,81,3.297210931777954,4050,0.0,2.7446942,0.17549169063568115,0.007569735,0.018180761,0.018180761
50.0,-59.812070703146084,41,122,4.837008953094482,6100,0.0,2.7011094,0.18165355920791626,0.0072755497,0.01928897,0.01928897
50.0,-58.652075914100436,41,163,6.418466806411743,8150,0.0,2.667669,0.26620036363601685,0.0071942452,0.018781258,0.018781258
50.0,-57.796516383463,41,204,7.801035642623901,10200,0.0,2.625916,0.4127624034881592,0.00679552,0.02061461,0.02061461
50.0,-57.61973575680594,41,245,9.215449810028076,12250,0.0,2.5684264,0.38454633951187134,0.008186052,0.021963459,0.021963459
50.0,-57.37367981684989,41,286,10.671990633010864,14300,0.0,2.5279496,0.5083819031715393,0.006589638,0.017452888,0.017452888
50.0,-56.13956167007492,41,327,12.054313898086548,16350,0.0,2.484674,0.5789386630058289,0.00801239,0.018899726,0.018899726
50.0,-55.78454045992099,41,368,13.550065755844116,18400,0.0,2.438453,0.5526003241539001,0.006447722,0.01944633,0.01944633
50.0,-55.78655845725183,41,409,14.928663730621338,20450,0.0,2.3612916,0.601320207118988,0.008887585,0.020116007,0.020116007
50.0,-54.33075161592009,41,450,16.400749683380127,22500,0.0,2.3292437,0.6314806938171387,0.0065192943,0.018376,0.018376
50.0,-53.138971088557334,41,491,17.78350281715393,24550,0.0,2.2665353,0.6236870586872101,0.007362832,0.019443488,0.019443488
50.0,-52.06691974707897,41,532,19.238695859909058,26600,0.0,2.2154748,0.6108033955097198,0.010583783,0.01853637,0.01853637
50.0,-51.04723920067177,41,573,20.682586908340454,28650,0.0,2.1647267,0.6288540661334991,0.00684451,0.015981922,0.015981922
50.0,-49.9227281952708,41,614,22.056249856948853,30700,0.0,2.1288238,0.6234764754772186,0.010289608,0.019285457,0.019285457
50.0,-49.505365491310066,41,655,23.65205192565918,32750,0.0,2.0633254,0.6537580490112305,0.007267929,0.021126205,0.021126205
50.0,-48.85285736019412,41,696,25.172008991241455,34800,0.0,2.0172956,0.6488270461559296,0.0062307026,0.015324734,0.015324734
50.0,-48.5364146040775,41,737,26.75253391265869,36850,0.0,1.9833617,0.5902658402919769,0.00781617,0.022119878,0.022119878
50.0,-47.799450602877414,41,778,28.365251779556274,38900,0.0,1.9671626,0.6498616635799408,0.007609175,0.020402808,0.020402808
50.0,-47.44462709735427,41,819,29.915392875671387,40950,0.0,1.8946776,0.7499751448631287,0.008239867,0.018316042,0.018316042
50.0,-46.51966888758011,41,860,31.31646180152893,43000,0.0,1.8662721,0.7247511446475983,0.0074092667,0.013838271,0.013838271
50.0,-45.80350511329788,41,901,32.79070997238159,45050,0.0,1.8289716,0.7497596740722656,0.0068729497,0.024903271,0.024903271
50.0,-45.72360290014467,41,942,34.22511076927185,47100,0.0,1.7840205,0.7492470145225525,0.009980291,0.016716095,0.016716095
50.0,-45.17807702316011,41,983,35.613133668899536,49150,0.0,1.7179477,0.6444141268730164,0.011288794,0.019547706,0.019547706
50.0,-44.12744875332359,41,1024,37.0908567905426,51200,0.0,1.6824945,0.7174622416496277,0.013188789,0.020202015,0.020202015
