Goal #,Obstacle Size,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,
,,success rate, goal reach rate, plan path length, success path length, success path length std, failure path length, failure path length std, plan path steps, failure path steps, failure path steps std, plan path last distance to goal, success path last distance to goal, success path last distance to goal std, failure path last distance to goal, failure path last distance to goal std, success path RMSE relative to plan path, success path RMSE relative to plan path std,
15,0.75,100.0,100.0,84.77,84.84,0.69,-,-,652.0,-,-,5.496549328451732,3.778709274613874,0.11029454681933586,-,-,0.99,0.05,
Mean of all goals,0.75,100.0,100.0,84.77,84.84,0.69,-,-,652.0,-,-,5.496549328451732,3.778709274613874,0.11029454681933586,-,-,0.99,0.05,
