EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
50.0,-5.934064126680599,41,3317,362.07945680618286,165850,-0.0,-4.035829,0.937112420797348,0.010010242,0.0029303655,0.0029303655
50.0,-5.813381753379341,41,3358,365.25165605545044,167900,-0.0,-3.9005892,0.9557624906301498,0.009077098,0.003233592,0.003233592
50.0,-6.03951167428359,41,3399,368.14776587486267,169950,-0.0,-3.9953759,0.9514081329107285,0.010173889,0.0017837677,0.0017837677
50.0,-5.864789375109302,41,3440,370.9002859592438,172000,-0.0,-4.1281295,0.940569881349802,0.010028269,0.005417932,0.005417932
50.0,-5.993485276196887,41,3481,384.8611648082733,174050,-0.0,-4.0430174,0.9358380734920502,0.008947,0.0036365278,0.0036365278
50.0,-6.029459706832507,41,3522,387.8400068283081,176100,-0.0,-4.166934,0.9421305507421494,0.0100951195,0.0073572625,0.0073572625
50.0,-5.911618614008299,41,3563,390.70667600631714,178150,-0.0,-4.0935507,0.9493112154304981,0.008983135,0.0059152395,0.0059152395
50.0,-5.762580386592927,41,3604,393.4910669326782,180200,-0.0,-4.2283964,0.9422241747379303,0.010008812,0.0037360517,0.0037360517
50.0,-5.977527759397618,41,3645,396.2987537384033,182250,-0.0,-4.3661656,0.9464908428490162,0.009980225,0.0048086396,0.0048086396
50.0,-6.116239797201158,41,3686,409.6511309146881,184300,-0.0,-4.5041494,0.9332461506128311,0.009977724,0.007738366,0.007738366
50.0,-6.143666410151716,41,3727,412.3816499710083,186350,-0.0,-4.635861,0.9469115398824215,0.010037399,0.0040826276,0.0040826276
50.0,-6.441472564262414,41,3768,415.11859798431396,188400,-0.0,-4.769772,0.9516351670026779,0.010017657,0.0067472695,0.0067472695
50.0,-6.383939163166742,41,3809,417.90570092201233,190450,-0.0,-4.8756137,0.9537293985486031,0.010167575,0.0074281297,0.0074281297
50.0,-6.111507963914623,41,3850,420.74293303489685,192500,-0.0,-4.8975706,0.9595047272741795,0.009745978,0.0057990453,0.0057990453
50.0,-5.941049685068804,41,3891,434.3926668167114,194550,-0.0,-4.846519,0.9512395709753036,0.009103673,0.009116823,0.009116823
50.0,-5.744562635178872,41,3932,437.1233148574829,196600,-0.0,-4.7164726,0.9400439150631428,0.009038713,0.002072516,0.002072516
50.0,-5.870451007290339,41,3973,439.92883372306824,198650,-0.0,-4.841137,0.9594768770039082,0.010090444,0.005061286,0.005061286
50.0,-6.0412995132709595,41,4014,442.7973299026489,200700,-0.0,-4.958694,0.9564783908426762,0.010129952,0.0028827493,0.0028827493
50.0,-5.653957505485215,41,4055,445.6450366973877,202750,-0.0,-5.09578,0.9499901086091995,0.009987261,0.0034618303,0.0034618303
50.0,-5.821453249168382,41,4096,459.2770037651062,204800,-0.0,-4.98014,0.9710261393338442,0.008964539,0.004143345,0.004143345
50.0,-5.8483935093930635,40,4136,461.97013092041016,206800,-0.0,-5.1107154,0.9657970741391182,0.010046505,0.0019701694,0.0019701694
50.0,-5.64192475719565,41,4177,464.7720799446106,208850,-0.0,-5.154505,0.9448765777051449,0.00993421,0.0036032905,0.0036032905
50.0,-5.433607912831899,41,4218,467.5722448825836,210900,-0.0,-5.02246,0.9419678375124931,0.009052753,0.002999228,0.002999228
50.0,-5.546823739613249,41,4259,470.354856967926,212950,-0.0,-5.1583133,0.9498755671083927,0.00999949,0.001951548,0.001951548
50.0,-5.538790364884037,41,4300,484.2740077972412,215000,-0.0,-5.138961,0.9622296132147312,0.0093583055,0.00872377,0.00872377
50.0,-5.700580220360001,41,4341,487.0339877605438,217050,-0.0,-5.01726,0.9628278538584709,0.0089901835,0.0025592537,0.0025592537
50.0,-6.023271688725151,41,4382,489.82836985588074,219100,-0.0,-5.1415896,0.9579132683575153,0.010092759,0.0027673412,0.0027673412
50.0,-6.193250280058148,41,4423,492.60565304756165,221150,-0.0,-5.2715716,0.9726910572499037,0.010051344,0.0016845218,0.0016845218
50.0,-6.216421057302606,41,4464,495.6109850406647,223200,-0.0,-5.395993,0.9503496363759041,0.010091997,0.0013175341,0.0013175341
50.0,-6.023988462480027,41,4505,509.68793392181396,225250,-0.0,-5.5093904,0.9566125459969044,0.010146164,0.0017178748,0.0017178748
50.0,-6.101395875252621,41,4546,738.239394903183,227300,-0.0,-5.6470056,0.959515567868948,0.009981632,0.0029166578,0.0029166578
50.0,-6.0611101403654395,41,4587,741.0513360500336,229350,-0.0,-5.531825,0.9584550224244595,0.008963004,0.0040431437,0.0040431437
50.0,-5.954961946944085,41,4628,743.7716717720032,231400,-0.0,-5.509488,0.9635392054915428,0.009331226,0.0072443057,0.0072443057
50.0,-6.059423746989188,41,4669,746.6719880104065,233450,-0.0,-5.4983687,0.958923414349556,0.009433508,0.007027176,0.007027176
50.0,-5.804327894724511,41,4710,761.584609746933,235500,-0.0,-5.392745,0.9474554546177387,0.008939292,0.0022381833,0.0022381833
50.0,-5.898210283724943,41,4751,764.3583209514618,237550,-0.0,-5.530761,0.9666455760598183,0.009977794,0.005956739,0.005956739
50.0,-5.855371640467988,41,4792,767.3821568489075,239600,-0.0,-5.39303,0.9680246897041798,0.0090979505,0.0019473424,0.0019473424
50.0,-5.958446314437067,41,4833,770.4282667636871,241650,-0.0,-5.2596426,0.9680416025221348,0.009062741,0.0025719986,0.0025719986
