Goal #,Obstacle Size,policy_OBS,policy_OBS,policy_OBS,policy_OBS,policy_OBS,policy_OBS,policy_OBS,policy_OBS,policy_OBS,policy_OBS,policy_OBS,policy_OBS,policy_OBS,policy_OBS,policy_OBS,policy_OBS,policy_OBS,
,,success rate, goal reach rate, plan path length, success path length, success path length std, failure path length, failure path length std, plan path steps, failure path steps, failure path steps std, plan path last distance to goal, success path last distance to goal, success path last distance to goal std, failure path last distance to goal, failure path last distance to goal std, success path RMSE relative to plan path, success path RMSE relative to plan path std,
0,0.75,100.0,100.0,150.18,98.68,0.76,-,-,947.0,-,-,5.493008442074683,5.133561470597559,0.21519592283990954,-,-,1.8,0.02,
7,0.75,60.0,50.0,110.43,59.82,0.38,9.06,0.06,695.0,109.25,0.4330127018922193,5.360126233291757,7.838069532013541,0.11885689386892082,54.14208925311033,0.05032356197787262,1.45,0.05,
8,0.75,40.0,40.0,109.89,59.82,0.19,8.9,0.12,752.0,94.0,0.5773502691896257,5.468272765778872,7.221742020759265,0.3672253960607052,48.73979825920378,0.08697173199393204,1.39,0.04,
15,0.75,20.0,0.0,191.42,104.59,0.06,8.96,0.11,1299.0,90.0,1.8708286933869707,5.405649525383276,9.352799793609641,0.31720433089738886,72.09835673322915,0.08433556240342033,3.66,0.04,
2,0.75,100.0,100.0,77.14,62.9,0.04,-,-,385.0,-,-,5.487216312022197,4.702526064276521,0.11088276135784497,-,-,1.08,0.06,
Mean of all goals,0.75,64.0,58.0,127.81199999999998,77.16199999999999,0.28600000000000003,8.973333333333334,0.09666666666666666,815.6,97.75,0.9603972214896052,5.442854655710157,6.849739776251306,0.22587306100495388,58.32674808184775,0.073876952125075,1.8760000000000001,0.042,
