Goal #,Obstacle Size,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,
,,success rate, goal reach rate, plan path length, success path length, success path length std, failure path length, failure path length std, plan path steps, failure path steps, failure path steps std, plan path last distance to goal, success path last distance to goal, success path last distance to goal std, failure path last distance to goal, failure path last distance to goal std, success path RMSE relative to plan path, success path RMSE relative to plan path std,
15,0.75,100.0,100.0,81.41,82.08,0.7,-,-,440.0,-,-,5.4016174760445,5.1260468081441655,0.20176647701672532,-,-,0.82,0.03,
Mean of all goals,0.75,100.0,100.0,81.41,82.08,0.7,-,-,440.0,-,-,5.4016174760445,5.1260468081441655,0.20176647701672532,-,-,0.82,0.03,
