EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
50.0,-62.21487379264845,40,40,2.500976324081421,2000,0.0,2.7312577,-0.0035098791122436523,0.010166168,0.0076580243,0.0076580243
50.0,-60.288828228430056,41,81,4.6977221965789795,4050,0.0,2.5933273,0.19846808910369873,0.009978318,0.00686235,0.00686235
50.0,-58.58298021131646,41,122,6.863232135772705,6100,0.0,2.7188053,0.226390540599823,0.009010211,0.0014368817,0.0014368817
50.0,-58.33023458229416,41,163,9.097655057907104,8150,0.0,2.6566336,0.22600722312927246,0.010061718,0.0049856678,0.0049856678
50.0,-57.522971523509916,41,204,12.423444986343384,10200,0.0,2.5208695,0.3451606035232544,0.010000014,0.005397902,0.005397902
50.0,-56.872294009641294,41,245,15.156737089157104,12250,0.0,2.3828976,0.4980260729789734,0.009976771,0.006043343,0.006043343
50.0,-54.850729857847426,41,286,17.880465984344482,14300,0.0,2.2726424,0.491318941116333,0.010157108,0.0067216903,0.0067216903
50.0,-51.60690355980327,41,327,20.640268087387085,16350,0.0,2.1367242,0.49109554290771484,0.009998705,0.013894979,0.013894979
50.0,-49.07058768317982,41,368,23.33824324607849,18400,0.0,2.017607,0.5526701509952545,0.010121584,0.007208473,0.007208473
50.0,-46.512106105296105,41,409,28.293073892593384,20450,0.0,1.8928508,0.5101922154426575,0.010089304,0.0056894114,0.0056894114
50.0,-44.490128812689825,41,450,31.014336109161377,22500,0.0,1.7574242,0.5585973560810089,0.010003474,0.008602943,0.008602943
50.0,-41.78144941548031,41,491,33.731067180633545,24550,0.0,1.6198426,0.5633816421031952,0.009981894,0.010669334,0.010669334
50.0,-38.65658016411211,41,532,36.43216109275818,26600,0.0,1.4870092,0.516494870185852,0.010027624,0.008521334,0.008521334
50.0,-36.384266512095216,41,573,39.19233012199402,28650,0.0,1.3622848,0.5901148915290833,0.010089898,0.010096131,0.010096131
50.0,-34.11750437885724,41,614,45.52204489707947,30700,0.0,1.2488288,0.602736622095108,0.010147071,0.009756711,0.009756711
50.0,-31.171546418146807,41,655,48.31538510322571,32750,0.0,1.1113284,0.5867060124874115,0.009982801,0.011874001,0.011874001
50.0,-28.90853057249387,41,696,51.27486705780029,34800,0.0,0.97367865,0.5912925601005554,0.009981394,0.015849058,0.015849058
50.0,-26.429056651773518,41,737,54.14240002632141,36850,0.0,0.8431352,0.6216108798980713,0.010046936,0.014350946,0.014350946
50.0,-24.758577312764437,41,778,57.03031516075134,38900,0.0,0.70512354,0.6112229824066162,0.009977434,0.014028221,0.014028221
50.0,-22.83362035495418,41,819,64.50658202171326,40950,0.0,0.56900656,0.6402721405029297,0.009996868,0.007961799,0.007961799
50.0,-20.912246929156677,41,860,67.3706591129303,43000,0.0,0.43350166,0.6906397640705109,0.010002706,0.013611608,0.013611608
50.0,-19.060305078057578,41,901,70.18557810783386,45050,0.0,0.2954933,0.6338284015655518,0.009977434,0.010209787,0.010209787
50.0,-17.51192567522713,41,942,72.90317416191101,47100,0.0,0.15781783,0.7081858515739441,0.009981062,0.0068282485,0.0068282485
50.0,-16.564386951290658,41,983,75.81659126281738,49150,0.0,0.026155913,0.6531243622303009,0.010037684,0.0109528415,0.0109528415
50.0,-15.48302218828833,41,1024,84.51095724105835,51200,-0.0,-0.11168911,0.651229590177536,0.009979341,0.011322451,0.011322451
