Goal #,Obstacle Size,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,astar,
,,success rate, goal reach rate, plan path length, success path length, success path length std, failure path length, failure path length std, plan path steps, failure path steps, failure path steps std, plan path last distance to goal, success path last distance to goal, success path last distance to goal std, failure path last distance to goal, failure path last distance to goal std, success path RMSE relative to plan path, success path RMSE relative to plan path std,
0,0.75,0.0,0.0,74.31,-,-,73.42,7.94,457.0,365.4,41.70179852236592,5.499326795335975,-,-,12.81421150573307,5.733874197540251,-,-,
2,0.75,100.0,100.0,61.6,72.28,0.04,-,-,184.0,-,-,5.2718429080998055,4.879140760408822,0.019732176126382738,-,-,6.48,0.01,
7,0.75,100.0,100.0,59.35,64.28,0.03,-,-,401.0,-,-,5.296264093125778,1.7876123178924286,0.03515804503240972,-,-,3.44,0.01,
8,0.75,100.0,0.0,80.44,89.89,0.13,-,-,572.0,-,-,5.495246048068314,9.331322098643096,0.030010704313213777,-,-,5.61,0.07,
15,0.75,100.0,0.0,106.11,124.75,0.35,-,-,766.0,-,-,5.409231768910071,14.52461712847167,0.30652039607386594,-,-,7.56,0.05,
Mean of all goals,0.75,80.0,40.0,76.362,87.8,0.1375,73.42,7.94,476.0,365.4,41.70179852236592,5.394382322707989,7.630673076354004,0.09785533038646804,12.81421150573307,5.733874197540251,5.7725,0.035,
